,r,theta,x,y
0,5.0,3.141592653589793,-5.0,6.123233995736766e-16
1,4.0,3.141592653589793,-4.0,4.898587196589413e-16
2,3.0,3.141592653589793,-3.0,3.6739403974420594e-16
3,2.0,3.141592653589793,-2.0,2.4492935982947064e-16
4,1.0,3.141592653589793,-1.0,1.2246467991473532e-16
5,5.0,3.0402509550868966,-4.974346616959476,0.5058416099371614
6,4.0,3.015928947446201,-3.968458805257911,0.5013329342572181
7,3.0,2.9762456718219092,-2.959083910208167,0.4937837708422021
8,5.0,2.938909256584,-4.897649706262472,1.0064926004433008
9,2.0,2.8999316802367323,-1.941883634852104,0.47863132857511537
10,4.0,2.8902652413026098,-3.8743326445145243,0.9947595486594193
11,5.0,2.8375675580811035,-4.7706962820002445,1.4968156148667902
12,3.0,2.8108986900540254,-2.837451725101904,0.9740984076140509
13,4.0,2.764601535159018,-3.7191059435530054,1.4724982107387126
14,5.0,2.736225859578207,-4.594789058101153,1.971779275566593
15,1.0,2.6927937030769655,-0.900968867902419,0.43388373911755823
16,2.0,2.658270706883671,-1.7709120513064196,0.9294463440875373
17,3.0,2.6455517082861415,-2.638421253619467,1.427842179111221
18,4.0,2.638937829015426,-3.505226720175454,1.9270146964068624
19,5.0,2.6348841610753104,-4.37173308072291,2.4265098126554054
20,5.0,2.5335424625724134,-4.10381720603638,2.856341075473963
21,4.0,2.5132741228718345,-3.2360679774997894,2.351141009169893
22,3.0,2.4802047265182576,-2.3674215281891806,1.8426381380690038
23,5.0,2.4322007640695174,-3.7937906134639547,3.2568624136111115
24,2.0,2.4166097335306103,-1.4970214963422024,1.3262453164815904
25,4.0,2.3876104167282426,-2.9158745096856453,2.7381884237147553
26,5.0,2.330859065566621,-3.4448345953784325,3.6239639361455995
27,3.0,2.3148577447503738,-2.0318447148772227,2.207171732019395
28,4.0,2.261946710584651,-2.549695958994759,3.082052971103157
29,1.0,2.243994752564138,-0.6234898018587335,0.7818314824680299
30,5.0,2.2295173670637243,-3.0605299127383145,3.9538786846884926
31,2.0,2.174948760177549,-1.1361294934623114,1.645967731787313
32,3.0,2.14951076298249,-1.64084447436728,2.511499434787586
33,4.0,2.1362830044410597,-2.1433071799159875,3.37731170200806
34,5.0,2.1281756685608273,-2.644820051634811,4.243221287473756
35,5.0,2.026833970057931,-2.201970757788172,4.4890226978537076
36,4.0,2.0106192982974678,-1.7031171662602909,3.619308209864078
37,3.0,1.984163781214606,-1.2050862739589077,2.7473199799651726
38,2.0,1.9332877868244882,-0.7092097740850714,1.8700324853708297
39,5.0,1.9254922715550344,-1.7365262642241008,4.688760660735403
40,4.0,1.8849555921538759,-1.2360679774997894,3.8042260651806146
41,5.0,1.8241505730521381,-1.2532626612936033,4.840385594331021
42,3.0,1.8188167994467224,-0.7364564614223974,2.908200797817991
43,1.0,1.7951958020513104,-0.22252093395631434,0.9749279121818236
44,4.0,1.7592918860102844,-0.7495252583428993,3.9291490029147544
45,5.0,1.7228088745492411,-0.7571388875228818,4.942341621640558
46,2.0,1.691626813471427,-0.24107336051064576,1.985417748196108
47,3.0,1.6534698176788385,-0.24773803641699682,2.9897534790200098
48,4.0,1.6336281798666925,-0.2511620781172536,3.9921069137130862
49,5.0,1.6214671760463448,-0.2532458441935632,4.993582535855264
50,5.0,1.5201254775434483,0.25324584419356383,4.993582535855264
51,4.0,1.5079644737231006,0.2511620781172541,3.9921069137130862
52,3.0,1.4881228359109546,0.24773803641699718,2.9897534790200098
53,2.0,1.4499658401183662,0.241073360510646,1.985417748196108
54,5.0,1.4187837790405518,0.7571388875228835,4.942341621640557
55,4.0,1.382300767579509,0.749525258342899,3.9291490029147544
56,1.0,1.3463968515384828,0.22252093395631445,0.9749279121818236
57,3.0,1.3227758541430708,0.7364564614223977,2.908200797817991
58,5.0,1.3174420805376552,1.2532626612936026,4.840385594331021
59,4.0,1.2566370614359172,1.2360679774997898,3.804226065180614
60,5.0,1.2161003820347587,1.7365262642241013,4.688760660735402
61,2.0,1.2083048667653051,0.7092097740850711,1.8700324853708297
62,3.0,1.1574288723751869,1.2050862739589085,2.747319979965172
63,4.0,1.1309733552923256,1.7031171662602906,3.6193082098640783
64,5.0,1.1147586835318621,2.2019707577881715,4.489022697853708
65,5.0,1.0134169850289656,2.644820051634812,4.243221287473754
66,4.0,1.0053096491487339,2.143307179915986,3.3773117020080603
67,3.0,0.992081890607303,1.6408444743672808,2.5114994347875856
68,2.0,0.9666438934122441,1.1361294934623116,1.645967731787313
69,5.0,0.9120752865260691,3.060529912738314,3.953878684688493
70,1.0,0.8975979010256552,0.6234898018587336,0.7818314824680298
71,4.0,0.8796459430051422,2.5496959589947585,3.082052971103157
72,3.0,0.8267349088394192,2.031844714877223,2.2071717320193946
73,5.0,0.8107335880231724,3.444834595378433,3.6239639361456
74,4.0,0.7539822368615503,2.915874509685646,2.7381884237147545
75,2.0,0.7249829200591831,1.4970214963422022,1.3262453164815904
76,5.0,0.7093918895202759,3.7937906134639547,3.2568624136111106
